"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337965","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-1001
	Account Name:		Asus
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:48:23","28-05-2026 14:48:23",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337964","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-500
	Account Name:		Administrator
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:48:23","28-05-2026 14:48:23",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337963","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-1001
	Account Name:		Asus
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:48:23","28-05-2026 14:48:23",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337962","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-500
	Account Name:		Administrator
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:48:23","28-05-2026 14:48:23",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337961","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-1001
	Account Name:		Asus
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:48:22","28-05-2026 14:48:22",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337960","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-500
	Account Name:		Administrator
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:48:22","28-05-2026 14:48:22",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337959","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-1001
	Account Name:		Asus
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:48:22","28-05-2026 14:48:22",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337958","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-500
	Account Name:		Administrator
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:48:22","28-05-2026 14:48:22",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337957","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-1001
	Account Name:		Asus
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:47:33","28-05-2026 14:47:33",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337956","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-500
	Account Name:		Administrator
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:47:33","28-05-2026 14:47:33",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337955","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-1001
	Account Name:		Asus
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:47:33","28-05-2026 14:47:33",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337954","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-500
	Account Name:		Administrator
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:47:33","28-05-2026 14:47:33",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337953","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-1001
	Account Name:		Asus
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:47:25","28-05-2026 14:47:25",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337952","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-500
	Account Name:		Administrator
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:47:25","28-05-2026 14:47:25",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337951","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-1001
	Account Name:		Asus
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:47:25","28-05-2026 14:47:25",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337950","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-500
	Account Name:		Administrator
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:47:25","28-05-2026 14:47:25",,,
"4798","LAPTOP-OBSQ0AE2","System.Byte[]","337949","(13824)","13824","SuccessAudit","A user's local group membership was enumerated.

Subject:
	Security ID:		S-1-5-18
	Account Name:		LAPTOP-OBSQ0AE2$
	Account Domain:		WORKGROUP
	Logon ID:		0x3e7

User:
	Security ID:		S-1-5-21-3180984354-2014446864-1325276698-1001
	Account Name:		Asus
	Account Domain:		LAPTOP-OBSQ0AE2

Process Information:
	Process ID:		0x5b8
	Process Name:		C:\Windows\System32\svchost.exe","Microsoft-Windows-Security-Auditing","System.String[]","4798","28-05-2026 14:47:23","28-05-2026 14:47:23",,,
